CLR, CLR, CLR, CLR, CLR, CLR, CLR, CLR, ES, W, CLR, CLR, CLR, CLR, CLR, ES, SW, S, ES, W, CLR, CLR, CLR, CLR, CLR, 
CLR, CLR, CLR, CLR, CLR, CLR, ES, EW, NSW, S, CLR, CLR, CLR, CLR, ES, NEW, NEW, NEW, NSW, CLR, CLR, CLR, CLR, CLR, CLR, 
CLR, CLR, CLR, CLR, CLR, ES, NW, NESW, NESW, NW, CLR, CLR, E, ESW, NW, CLR, CLR, ES, NSW, CLR, CLR, CLR, CLR, CLR, CLR, 
CLR, CLR, ES, ESW, S, NS, CLR, NS, NE, SW, CLR, S, ES, NW, NE, EW, ESW, NSW, N, SW, CLR, CLR, E, SW, CLR, 
ES, SW, N, NES, NSW, NES, SW, NESW, NW, NES, SW, NESW, NW, CLR, CLR, CLR, NE, NE, EW, NEW, SW, CLR, CLR, NS, CLR, 
NS, NW, ES, EW, NESW, NES, NS, EW, ESW, NSW, NE, NW, CLR, CLR, CLR, CLR, CLR, NES, EW, SW, NSW, CLR, CLR, NS, CLR, 
NE, EW, NESW, E, EW, NW, NEW, EW, EW, SW, S, CLR, ES, ES, ESW, SW, CLR, N, CLR, NS, NEW, EW, ESW, NSW, CLR, 
CLR, CLR, NES, S, CLR, NS, NES, NESW, ES, NESW, NW, S, NES, NEW, NESW, NESW, ES, NEW, EW, NE, ESW, ESW, NESW, NW, CLR, 
CLR, CLR, NES, NSW, ES, NEW, NEW, ES, NW, NS, S, NEW, NW, NESW, NESW, EW, NESW, NEW, NW, ES, NE, NES, N, CLR, CLR, 
CLR, CLR, NE, NESW, NESW, SW, NESW, NE, W, NES, NESW, ESW, SW, SW, NESW, ESW, NESW, EW, ESW, NW, CLR, N, CLR, CLR, CLR, 
CLR, CLR, E, NW, NE, NS, NESW, NES, NESW, NS, NES, ESW, NEW, NSW, NSW, ESW, NW, CLR, NS, CLR, CLR, CLR, CLR, CLR, CLR, 
CLR, CLR, CLR, NE, NESW, NESW, NESW, NES, NES, NEW, SW, SW, NESW, NSW, ESW, NSW, NSW, ES, NSW, ESW, SW, ESW, ESW, W, CLR, 
CLR, CLR, CLR, CLR, NES, NSW, NE, N, ESW, EW, NEW, NSW, NES, NESW, NESW, NEW, NESW, NW, NES, NSW, NEW, NEW, NESW, W, CLR, 
CLR, CLR, CLR, CLR, NS, NESW, ES, ESW, NESW, ESW, NESW, NES, ESW, NS, NEW, NES, NSW, CLR, NS, N, CLR, NES, NESW, ESW, SW, 
ES, SW, CLR, CLR, NE, NES, NW, N, NES, N, E, NW, NES, NS, CLR, NES, NEW, ESW, NESW, SW, ES, NESW, NS, NES, NSW, 
NS, NEW, SW, CLR, CLR, ES, ESW, ESW, ESW, E, SW, ESW, NESW, NESW, SW, ESW, SW, NS, NE, ESW, NSW, S, NESW, NES, NW, 
NES, SW, NW, CLR, CLR, NS, ES, ESW, NW, E, NSW, NE, NESW, NS, NEW, NSW, NSW, NESW, ES, NESW, NE, NEW, NEW, NES, NSW, 
NES, NSW, CLR, CLR, CLR, NS, NEW, NES, SW, CLR, NES, EW, NW, NE, NEW, NE, NE, NSW, NE, NW, E, ESW, ESW, EW, NW, 
NS, NES, W, EW, SW, NE, SW, NE, NS, CLR, NE, SW, CLR, CLR, CLR, CLR, CLR, NES, EW, SW, NESW, NS, NES, EW, W, 
NES, NESW, ESW, EW, NEW, NE, NESW, SW, N, CLR, E, NSW, SW, ES, W, CLR, E, NEW, EW, NEW, NESW, NE, N, CLR, CLR, 
NES, NS, ESW, EW, SW, CLR, NE, NEW, ESW, SW, CLR, NES, NEW, NES, SW, CLR, CLR, E, SW, NESW, NESW, NEW, NW, SW, CLR, 
NE, NS, NESW, ES, NW, ES, ES, SW, NS, NES, S, NS, ES, NSW, S, CLR, CLR, CLR, NES, NW, NS, NES, NSW, NS, CLR, 
E, NESW, NESW, NES, ESW, NSW, NS, NE, NESW, ESW, NEW, NEW, NS, ES, NEW, ESW, ES, ES, SW, SW, NE, NESW, NEW, NEW, SW, 
ES, EW, NESW, NE, NW, NEW, NEW, NSW, N, N, CLR, CLR, NES, NS, EW, NEW, NEW, NSW, NESW, NSW, CLR, NS, ESW, ESW, NSW, 
E, EW, NW, CLR, E, EW, NEW, NEW, NW, CLR, CLR, CLR, NE, NEW, W, CLR, CLR, NE, EW, EW, EW, NEW, NEW, N, N, 
Starting row is 14 and col is 9
